Outcome measures (specific),Cluster general ,Mapping Cluster general,Mapping Agronomy cluster,Crop type studied,Cluster
Leaf dry wight,Morphometrics,,,,
Stem dry weight,Morphometrics,,,,
branch length,Morphometrics,,,,
downy mildew,Disease incidence & severity,,,,
bacterial rot,Disease incidence & severity,,,,
ascorbate peroxidase activity,Metabolism,,,,
pH,Physiology,,,,
Mn content,Physiology,,,,
Mg content,Physiology,,,,
B content,Physiology,,,,
absorption efficiency,Physiology,,,,
translocation efficiency,Physiology,,,,
utilisation efficiency,Physiology,,,,
petiole fresh mass,Morphometrics,,,,
petiole dry mass,Morphometrics,,,,
relative leaf water content,Metabolism,,,,
relative stem water content,Metabolism,,,,
relative petiole water content,Metabolism,,,,
relative root water content,Metabolism,,,,
relative plant water content,Metabolism,,,,
specific leaf area,Morphometrics,,,,
leaf area ratio,Morphometrics,,,,
total leaf area,Morphometrics,,,,
Latent period,Disease incidence & severity,,,,
Lesion size,Disease incidence & severity,,,,
Spors production,Disease incidence & severity,,,,
central vein thickness,Morphometrics,,,,
mesophyll thickness,Physiology,,,,
palisade parenchyma thickness,Physiology,,,,
lacunose parenchyma thickness,Physiology,,,,
palisade parenchyma percentage,Physiology,,,,
lacunose parenchyma percentage,Physiology,,,,
commercial sellable yield fresh mass,Morphometrics,,,,
yield pr area,Morphometrics,,,,
Ca/Mg ratio,Metabolism,,,,
Ca/k ratio,Metabolism,,,,
Ca/cations ratio,Metabolism,,,,
transpiration rate,Physiology,,,,
CO2 concentration,Metabolism,,,,
Number of eggs,Pest incidence & severity,,,,
numer of mines,Pest incidence & severity,,,,
weight of pupae,Entomology,,,,
larval mortality,Entomology,,,,
adult hatching,Entomology,,,,
number of thrips nymphs,Pest incidence & severity,,,,
area under the curve of incidence,Pest incidence & severity,,,,
area under the curve of severity,Pest incidence & severity,,,,
electical conductivity,Metabolism,,,,
seed soaking,Metabolism,,,,
deteriorted seed,Physiology,,,,
Pod weight,Morphometrics,,,,
Flower weight,Morphometrics,,,,
Number of seeds,Morphometrics,,,,
force to rupture epidermis,Physiology,,,,
force to rupture pulp,Physiology,,,,
Membrane Stability Index,Physiology,,,,
Pest incidence (%),Pest incidence & severity,,,,
Seed electrical conductivity,Physiology,,,,
number of larvae,Pest incidence & severity,,,,
leaf yield,Morphometrics,,,,
Stomatal resistance,Physiology,,,,
water use efficiency,Physiology,,,,
CO2 assimilation,Physiology,,,,
Cd content,Physiology,,,,
Pb content,Physiology,,,,
Cd content soil,Soil fertility,,,,
productivity (unspecified unit),Morphometrics,,,,
fresh mass pr area,Morphometrics,,,,
total carbohydrate content,Metabolism,,,,
Mycelial growth,Disease incidence & severity,,,,
Mycelail growth rate index,Disease incidence & severity,,,,
relative percentage of mycelial development,Disease incidence & severity,,,,
spor germination,Disease incidence & severity,,,,
total number of conidia,Disease incidence & severity,,,,
viability of conidia,Disease incidence & severity,,,,
colony-forming units,Disease incidence & severity,,,,
Absolute growth rate,Disease incidence & severity,,,,
Number of remaining leafs,Morphometrics,,,,
Gas exchanges - Evapotranspiration,Physiology,,,,
Gas exchanges - Internal carbon concentration,Physiology,,,,
Gas exchanges - Stomatal condutance,Physiology,,,,
Gas exchanges - Instantaneous carboxilation efficiency,Physiology,,,,
Rate of number of leaves day-1,Morphometrics,,,,
Absolute stem growth rate,Metabolism,,,,
CO2 assimilation rate,Metabolism,,,,
internal concentration of CO2 in the leaf,Metabolism,,,,
Germination energy,Metabolism,,,,
seedling vigour index,Physiology,,,,
carotenoids,Physiology,,,,
chitinnase activity,Metabolism,,,,
whole grain %,Morphometrics,,,,
shoot diameter,Morphometrics,,,,
relative chlorophyl (chlorophyl meter),Metabolism,,,,
fruit yield per plant per harvest,Morphometrics,,,,
total fruit production per plant during season,Morphometrics,,,,
fruit number per plant per harvest,Morphometrics,,,,
total fruit number per plant during season,Morphometrics,,,,
fresh mass per plant,Morphometrics,,,,
dry mass per plant,Morphometrics,,,,
number of viable leaves per plant,Morphometrics,,,,
number of dead leaves per plant,Morphometrics,,,,
number of stolon per plant,Morphometrics,,,,
number of viable flowers per plant,Morphometrics,,,,
number of dead flowers per plant,Morphometrics,,,,
SPAD,Physiology,,,,
crown diameter,Morphometrics,,,,
root projected area,Morphometrics,,,,
root surface,Morphometrics,,,,
foliar disease severity,Disease incidence & severity,,,,
foliar pest incidence,Disease incidence & severity,,,,
N-acetyl-β-D-glucosaminidases,Metabolism,,,,
chitobiose,Metabolism,,,,
Glucanase,Metabolism,,,,
Pest severity (%),Pest incidence & severity,,,,
number of flowers per cluster,Morphometrics,,,,
number of fruits per cluster,Morphometrics,,,,
number of viable tubers,Morphometrics,,,,
pod length,Morphometrics,,,,
number of empty pods per plant,Morphometrics,,,,
seed yield pr plant,Morphometrics,,,,
biomass/fruit ratio,Physiology,,,,
